PrimaryKey,school,sex,studytime,failures
537,MS,M,1,0
543,MS,M,1,3
544,MS,M,1,0
547,MS,M,1,0
553,MS,M,1,0
556,MS,M,1,0
558,MS,M,1,0
559,MS,M,1,1
560,MS,M,1,0
563,MS,M,1,1
564,MS,M,1,0
565,MS,M,1,0
566,MS,M,1,1
567,MS,M,1,1
568,MS,M,1,3
570,MS,M,1,0
571,MS,M,1,3
574,MS,M,1,1
576,MS,M,1,0
579,MS,M,1,0
580,MS,M,1,1
595,MS,M,1,0
598,MS,M,1,0
599,MS,M,1,0
600,MS,M,1,0
616,MS,M,1,0
627,MS,M,1,0
637,MS,M,1,0
639,MS,M,1,1
640,MS,M,1,1
647,MS,M,1,0
648,MS,M,1,0
5,GP,M,2,0
6,GP,M,2,0
8,GP,M,2,0
9,GP,M,2,0
13,GP,M,2,0
20,GP,M,2,0
22,GP,M,2,0
23,GP,M,2,0
28,GP,M,2,0
29,GP,M,2,0
30,GP,M,2,0
31,GP,M,2,0
32,GP,M,2,0
33,GP,M,2,0
42,GP,M,2,0
48,GP,M,2,0
57,GP,M,2,0
58,GP,M,2,0
75,GP,M,2,0
83,GP,M,2,0
88,GP,M,2,0
89,GP,M,2,0
104,GP,M,2,0
114,GP,M,2,0
115,GP,M,2,0
116,GP,M,2,0
118,GP,M,2,1
138,GP,M,2,0
140,GP,M,2,0
146,GP,M,2,2
168,GP,M,2,0
172,GP,M,2,1
175,GP,M,2,2
178,GP,M,2,0
180,GP,M,2,0
185,GP,M,2,0
186,GP,M,2,0
189,GP,M,2,0
191,GP,M,2,0
193,GP,M,2,0
194,GP,M,2,0
195,GP,M,2,0
199,GP,M,2,0
201,GP,M,2,0
203,GP,M,2,0
206,GP,M,2,0
225,GP,M,2,0
227,GP,M,2,0
231,GP,M,2,0
237,GP,M,2,3
241,GP,M,2,0
242,GP,M,2,0
245,GP,M,2,0
246,GP,M,2,0
247,GP,M,2,0
248,GP,M,2,0
250,GP,M,2,0
263,GP,M,2,0
267,GP,M,2,0
268,GP,M,2,0
280,GP,M,2,0
283,GP,M,2,1
291,GP,M,2,1
295,GP,M,2,0
296,GP,M,2,0
301,GP,M,2,0
306,GP,M,2,0
307,GP,M,2,0
309,GP,M,2,0
314,GP,M,2,0
331,GP,M,2,0
335,GP,M,2,0
336,GP,M,2,0
352,GP,M,2,0
361,GP,M,2,0
395,GP,M,2,0
396,GP,M,2,0
408,GP,M,2,0
409,GP,M,2,0
413,GP,M,2,2
416,GP,M,2,0
429,MS,M,2,0
440,MS,M,2,0
441,MS,M,2,0
442,MS,M,2,0
443,MS,M,2,0
444,MS,M,2,0
445,MS,M,2,0
446,MS,M,2,0
451,MS,M,2,0
469,MS,M,2,0
519,MS,M,2,0
531,MS,M,2,0
532,MS,M,2,0
535,MS,M,2,0
545,MS,M,2,1
550,MS,M,2,0
551,MS,M,2,0
552,MS,M,2,2
561,MS,M,2,0
569,MS,M,2,2
577,MS,M,2,1
578,MS,M,2,1
612,MS,M,2,1
622,MS,M,2,0
636,MS,M,2,0
638,MS,M,2,0
14,GP,M,3,0
36,GP,M,3,0
37,GP,M,3,0
81,GP,M,3,0
101,GP,M,3,0
107,GP,M,3,0
129,GP,M,3,0
151,GP,M,3,0
249,GP,M,3,0
272,GP,M,3,0
302,GP,M,3,0
334,GP,M,3,0
339,GP,M,3,0
350,GP,M,3,1
377,GP,M,3,0
400,GP,M,3,0
401,GP,M,3,0
411,GP,M,3,0
430,MS,M,3,0
525,MS,M,3,0
527,MS,M,3,0
623,MS,M,3,0
47,GP,M,4,0
66,GP,M,4,0
70,GP,M,4,0
71,GP,M,4,0
76,GP,M,4,0
94,GP,M,4,0
108,GP,M,4,0
121,GP,M,4,0
149,GP,M,4,0
383,GP,M,4,0
497,MS,M,4,1
502,MS,M,4,1
523,MS,M,4,0
536,MS,M,4,0
