PrimaryKey,school,sex,studytime,failures
198,GP,F,2,0
202,GP,F,2,0
204,GP,F,2,0
205,GP,F,2,0
209,GP,F,2,0
212,GP,F,1,1
213,GP,F,2,0
214,GP,F,2,0
215,GP,F,2,0
216,GP,F,2,0
217,GP,F,1,0
218,GP,F,4,0
219,GP,F,3,1
220,GP,F,2,0
221,GP,F,2,0
222,GP,F,1,0
223,GP,F,3,0
224,GP,F,4,0
226,GP,F,2,0
228,GP,F,1,0
229,GP,F,2,0
230,GP,F,2,0
232,GP,F,1,0
233,GP,F,3,0
234,GP,F,2,0
235,GP,F,3,0
236,GP,F,2,0
238,GP,F,3,0
239,GP,F,2,0
240,GP,F,2,0
243,GP,F,3,0
244,GP,F,2,0
251,GP,F,1,0
252,GP,F,2,0
253,GP,F,2,1
254,GP,F,2,1
255,GP,F,1,1
258,GP,F,2,0
259,GP,F,3,0
260,GP,F,1,0
261,GP,F,2,0
262,GP,F,1,1
264,GP,F,1,1
265,GP,F,3,0
266,GP,F,2,0
271,GP,F,2,0
273,GP,F,3,0
274,GP,F,2,0
275,GP,F,3,0
277,GP,F,2,0
288,GP,F,2,0
289,GP,F,4,0
290,GP,F,2,0
292,GP,F,3,0
293,GP,F,3,0
294,GP,F,2,0
298,GP,F,4,0
299,GP,F,2,0
300,GP,F,2,0
303,GP,F,3,0
304,GP,F,3,0
308,GP,F,2,0
310,GP,F,2,0
311,GP,F,2,0
312,GP,F,4,0
313,GP,F,2,0
315,GP,F,2,0
316,GP,F,2,0
317,GP,F,2,0
318,GP,F,2,0
320,GP,F,2,1
321,GP,F,3,0
322,GP,F,2,1
327,GP,F,4,0
328,GP,F,2,0
329,GP,F,2,0
330,GP,F,2,0
332,GP,F,3,0
333,GP,F,3,0
337,GP,F,3,0
338,GP,F,4,0
341,GP,F,2,0
342,GP,F,2,0
343,GP,F,4,0
345,GP,F,2,0
347,GP,F,3,0
348,GP,F,3,0
349,GP,F,4,0
353,GP,F,2,0
354,GP,F,2,0
355,GP,F,2,0
356,GP,F,1,0
357,GP,F,3,0
358,GP,F,1,0
359,GP,F,3,0
360,GP,F,2,0
362,GP,F,2,0
363,GP,F,1,0
364,GP,F,1,0
365,GP,F,2,0
366,GP,F,2,0
367,GP,F,2,0
369,GP,F,3,0
370,GP,F,2,2
371,GP,F,1,0
372,GP,F,2,0
373,GP,F,3,0
374,GP,F,3,0
375,GP,F,3,0
376,GP,F,3,0
380,GP,F,3,0
381,GP,F,3,0
382,GP,F,1,0
385,GP,F,2,0
386,GP,F,3,0
388,GP,F,2,0
389,GP,F,2,0
390,GP,F,4,0
391,GP,F,3,0
392,GP,F,2,0
393,GP,F,4,0
394,GP,F,2,0
397,GP,F,2,0
398,GP,F,3,0
399,GP,F,3,0
402,GP,F,3,0
403,GP,F,2,0
404,GP,F,2,0
405,GP,F,1,1
406,GP,F,1,1
407,GP,F,3,2
410,GP,F,2,0
412,GP,F,2,0
414,GP,F,3,0
415,GP,F,1,1
417,GP,F,3,0
420,GP,F,2,0
421,GP,F,1,1
422,GP,F,2,0
423,MS,F,1,0
424,MS,F,2,0
425,MS,F,1,1
426,MS,F,1,0
427,MS,F,2,0
428,MS,F,1,0
431,MS,F,2,1
432,MS,F,1,1
433,MS,F,1,0
434,MS,F,4,0
435,MS,F,2,0
436,MS,F,1,1
437,MS,F,1,0
438,MS,F,1,0
439,MS,F,1,0
448,MS,F,3,0
449,MS,F,1,0
450,MS,F,2,0
452,MS,F,2,0
453,MS,F,3,1
454,MS,F,3,1
455,MS,F,2,0
456,MS,F,2,0
458,MS,F,4,0
459,MS,F,3,0
460,MS,F,2,0
461,MS,F,1,0
462,MS,F,2,0
463,MS,F,3,0
465,MS,F,2,1
467,MS,F,2,0
470,MS,F,2,0
471,MS,F,2,1
472,MS,F,1,0
475,MS,F,3,0
476,MS,F,1,0
478,MS,F,2,3
479,MS,F,1,0
480,MS,F,1,1
481,MS,F,1,0
482,MS,F,1,0
483,MS,F,2,0
484,MS,F,1,0
485,MS,F,2,0
486,MS,F,1,1
487,MS,F,3,2
488,MS,F,3,1
490,MS,F,1,1
491,MS,F,2,1
492,MS,F,2,0
493,MS,F,1,0
494,MS,F,2,0
495,MS,F,1,0
496,MS,F,1,0
498,MS,F,2,0
499,MS,F,1,0
503,MS,F,4,0
504,MS,F,3,0
505,MS,F,1,0
506,MS,F,2,1
507,MS,F,3,0
509,MS,F,2,0
510,MS,F,2,0
511,MS,F,2,0
512,MS,F,2,1
513,MS,F,1,0
514,MS,F,1,0
515,MS,F,2,0
516,MS,F,2,0
517,MS,F,1,0
518,MS,F,2,1
520,MS,F,2,0
521,MS,F,2,0
522,MS,F,2,0
524,MS,F,2,0
526,MS,F,1,0
528,MS,F,1,0
529,MS,F,1,0
533,MS,F,2,0
538,MS,F,3,0
539,MS,F,2,0
540,MS,F,1,0
541,MS,F,2,0
542,MS,F,3,0
546,MS,F,2,0
548,MS,F,2,0
549,MS,F,2,0
554,MS,F,1,0
555,MS,F,3,0
557,MS,F,2,3
562,MS,F,2,0
572,MS,F,2,2
573,MS,F,1,0
575,MS,F,1,0
581,MS,F,2,2
582,MS,F,1,0
583,MS,F,1,1
584,MS,F,1,0
585,MS,F,3,0
586,MS,F,2,0
587,MS,F,2,1
588,MS,F,1,0
589,MS,F,1,0
590,MS,F,2,2
591,MS,F,2,0
592,MS,F,1,0
593,MS,F,2,0
594,MS,F,2,0
596,MS,F,2,0
597,MS,F,2,1
601,MS,F,2,0
602,MS,F,3,0
603,MS,F,2,0
604,MS,F,2,1
605,MS,F,1,1
606,MS,F,4,0
607,MS,F,2,0
608,MS,F,2,0
609,MS,F,2,0
610,MS,F,2,3
611,MS,F,3,0
613,MS,F,2,0
614,MS,F,2,0
615,MS,F,2,0
617,MS,F,3,0
618,MS,F,2,0
619,MS,F,2,0
620,MS,F,2,0
621,MS,F,2,0
624,MS,F,1,1
625,MS,F,1,0
626,MS,F,2,0
628,MS,F,3,0
629,MS,F,1,0
630,MS,F,3,0
631,MS,F,3,0
632,MS,F,2,1
633,MS,F,2,0
634,MS,F,2,0
635,MS,F,2,0
641,MS,F,3,0
642,MS,F,2,0
643,MS,F,1,0
644,MS,F,3,1
645,MS,F,2,0
646,MS,F,2,0
